case_id,variant,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,singlecore_cycles,speedup,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,plan_sha256,run_path
002,tensor_packet,4,ok,67136,0.8102565999997751,1.2749676999992516,261945,3.9017069828408006,1807872,583680,0,40b4c3bc92c7090ff622554032b557637a819cfd066f6e992994a52dc7289adc,results/a/q2-yuanzhifang/feedback-20260924/round4/002-tensor_packet/run.json
016,tensor_packet,4,ok,2566787,3.9954267000011896,11.828783099999782,7715523,3.005906995788899,802286,409068,0,2a0581b35c5da1ba90c5ee44a0b7d194084cd625b02d72316850a2a32bd1c505,results/a/q2-yuanzhifang/feedback-20260924/round4/016-tensor_packet/run.json
024,tensor_packet,4,ok,853187,1.1021302999997715,2.779540300000008,2555343,2.995056183462711,791678,398460,0,10f55e228110e85563ff3ea7f9b1af9c3322a09cf4f3aeba6bfe676da5f9a3b3,results/a/q2-yuanzhifang/feedback-20260924/round4/024-tensor_packet/run.json
028,tensor_packet,4,ok,10282576,1.8339259999993374,8.61159939999925,43836040,4.263137952979876,36303360,30394752,23949312,0db1eb374210ae8dbb7d484e33a40a768e7ad04d7e5511c0299e974d6b0803d4,results/a/q2-yuanzhifang/feedback-20260924/round4/028-tensor_packet/run.json
035,tensor_packet,4,ok,88511,1.0532676000002539,2.601562300000296,169571,1.915818372857611,410854,0,0,26b9d322808ca12f2e526a04826a662ac2749c198fb8564c213042c8b2cf12a2,results/a/q2-yuanzhifang/feedback-20260924/round4/035-tensor_packet/run.json
040,tensor_packet,4,ok,103829,0.6404844999997295,1.8844076999994286,253454,2.441071376975604,923526,12288,0,cc0c0cc8ede2b2025f9a36bd22225f58facb84eb7d62afa529bcde142a7c0fb3,results/a/q2-yuanzhifang/feedback-20260924/round4/040-tensor_packet/run.json
058,tensor_packet,4,ok,1143605,2.2384359000006953,10.932926500001486,4539717,3.9696547321846265,46440448,38772736,23633920,b2b98c0be7dd352a4c46cc10fa3750a92e9685f1eafb3c2c7fd23cdf3261d1f9,results/a/q2-yuanzhifang/feedback-20260924/round4/058-tensor_packet/run.json
064,tensor_packet,4,ok,18216,0.7082394000008208,0.6548800999989908,19116,1.0494071146245059,168980,131566,0,206461d11e89e464147979c29682bc2d212ce481080f9bb69dd01bc846464de6,results/a/q2-yuanzhifang/feedback-20260924/round4/064-tensor_packet/run.json
067,tensor_packet,4,ok,15320907,1.2658494999996037,4.175653899999816,63834834,4.166517948317289,22980096,16931968,5767168,0648ad12f32d0db54f1e151918ebd007dd1765a07d75740805ad0abe3eb81bc8,results/a/q2-yuanzhifang/feedback-20260924/round4/067-tensor_packet/run.json
073,tensor_packet,4,ok,2231456,1.5063342000012199,3.6338548000003357,10081626,4.517958678100756,15205888,11164800,0,dedaede4c3ad33fb01cb4b60736960842adb60154273be4a2c8f183cce467782,results/a/q2-yuanzhifang/feedback-20260924/round4/073-tensor_packet/run.json
