unit,slot,charged_index,phase,status,makespan,best_so_far,added_copy_bytes,spill_bytes,wall_seconds,timeout_seconds,completed_elapsed,plan,plan_sha256,output
002-D,1,1,initial,ok,132209,132209,485376,0,0.6869999999998981,120,1.655999999999949,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-D/baseline/plan.json,41c18c428c094bf2a07223ec2deffd3d174e3c26b3cef35064fd54c430c6b07e,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-D/eval-01-initial
002-D,32,2,final,ok,132209,132209,485376,0,0.7960000000002765,105,2.483999999999469,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-D/baseline/plan.json,41c18c428c094bf2a07223ec2deffd3d174e3c26b3cef35064fd54c430c6b07e,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-D/eval-02-final
002-M1,1,1,initial,ok,132209,132209,485376,0,0.8440000000000509,120,2.2659999999996217,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/baseline/plan.json,41c18c428c094bf2a07223ec2deffd3d174e3c26b3cef35064fd54c430c6b07e,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-01-initial
002-M1,2,2,explore,ok,75490,75490,921600,0,0.7190000000000509,120,3.3599999999996726,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/proposal-01/plan.json,d6b45231657d834c524f99559d4001117077d20a47fc9069db79b5162cdfef1e,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-02-explore
002-M1,3,3,explore,ok,75490,75490,921600,0,0.7190000000000509,120,4.390999999999622,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/proposal-02/plan.json,67f18f4961c765b72ef03907d5c7c6b50d1546f21ef300b03e231efb045dfe9a,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-03-explore
002-M1,4,4,explore,ok,72415,72415,605184,0,1.1400000000003274,120,6.015999999999622,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/proposal-03/plan.json,3db73adb18021b794815a19194113a49e33a03b56d2afe7c395f9571436b72c1,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-04-explore
002-M1,5,5,explore,ok,72415,72415,605184,0,0.6399999999994179,120,7.094000000000051,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/proposal-04/plan.json,ea2e6f25aa784ae31be025fb1201d9eeff6c9875e1452557fc1a6b5af3b843be,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-05-explore
002-M1,6,6,explore,ok,75370,72415,921600,0,0.75,120,8.17199999999957,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/proposal-05/plan.json,fd9a64e316dc5851e9a5c9c2df85dd7c95efeb3d72e2cd5442ae399920f513c2,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-06-explore
002-M1,7,7,explore,ok,75370,72415,921600,0,1.155999999999949,120,9.905999999999949,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/proposal-06/plan.json,6a27011a1fedc82ff69d5dca3203342c6059395fd05327103bfd7563307b5752,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-07-explore
002-M1,8,8,explore,ok,72795,72415,605184,0,0.875,120,11.344000000000051,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/proposal-07/plan.json,2683d70bb92b662bec70b2a2e2594bbec70e3463ba155c97fca75a3ea017c5bc,results/a/q2-yuanzhifang/stage-b-20260924-042906/002-M1/eval-08-explore
