case_id,status,row_count,row_ops,graph_M_cycles,graph_V_cycles,rows_M_cycles,rows_V_cycles,rows_fraction_graph_M,rows_fraction_graph_V,reason,input_sha256,source_sha256
001,unsupported,,,232800,30400,,,,,no closed attention query row matched,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
002,unsupported,,,240000,35928,,,,,no closed attention query row matched,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
003,recognized,108,11232,438792,325189,147744,221184,0.3367062298309905,0.6801706084769165,,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
004,unsupported,,,385614,47952,,,,,no closed attention query row matched,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
005,recognized,42,3360,63882,60930,29520,44886,0.462102000563539,0.7366814377154112,,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
006,unsupported,,,18660,69000,,,,,no closed attention query row matched,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
007,unsupported,,,979020,253080,,,,,no closed attention query row matched,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
008,unsupported,,,250128,237168,,,,,no closed attention query row matched,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
009,recognized,48,3264,65160,119992,19712,53696,0.3025168815224064,0.4474964997666511,,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
010,unsupported,,,44610,55496,,,,,no closed attention query row matched,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
011,unsupported,,,184448,25536,,,,,no closed attention query row matched,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,d02f0493386f1248533856447be98194bb09867eca55f55d18a186ad3f9d6964
