case_id,cores,variant,makespan_cycles,delta_vs_balanced_cycles,delta_vs_balanced_percent,solver_wall_seconds,construct_seconds,evaluation_seconds,E0_calls,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,cache_byte_hit_rate
002,3,balanced-postorder-e0,93527,0,0.0,0.15445820800960064,0.010603709000861272,0.09060704099829309,1,1230336,6144,0,0.0
002,3,fragment-postorder-e0,119342,25815,27.601655137019257,0.1570182499999646,0.009271584014641121,0.09939099999610335,1,1254912,30720,0,0.0
002,5,balanced-postorder-e0,85129,0,0.0,0.15511004198924638,0.011662000004434958,0.09217483300017193,1,1236480,12288,0,0.0
002,5,fragment-postorder-e0,67948,-17181,-20.1823115507054,0.16398675000527874,0.009813375014346093,0.10157604201231152,1,1291776,67584,0,0.0
062,3,balanced-postorder-e0,1342199,0,0.0,3.877716374990996,0.217457499995362,3.3332523339777254,1,13407744,6144,0,0.0
062,3,fragment-postorder-e0,1183248,-158951,-11.842580720146566,3.65259183300077,0.19258341600652784,3.1320297500060406,1,13435392,33792,0,0.0
062,5,balanced-postorder-e0,673177,0,0.0,3.138416917005088,0.1996466669952497,2.5798145000007935,1,13413888,12288,0,0.0
062,5,fragment-postorder-e0,1010340,337163,50.08534159663803,3.6447037080070004,0.22609474998898804,3.0591276669874787,1,13478400,76800,0,0.0
063,3,balanced-postorder-e0,399671,0,0.0,1.1032616249867715,0.05986970799858682,0.8996983749966603,1,5027328,6144,0,0.0
063,3,fragment-postorder-e0,422182,22511,5.632382634717055,0.9674210000084713,0.06372379200183786,0.7424038749886677,1,5048832,27648,0,0.0
063,5,balanced-postorder-e0,336337,0,0.0,0.8199006250069942,0.06425633298931643,0.6209849170118105,1,5033472,12288,0,0.0
063,5,fragment-postorder-e0,340898,4561,1.356080359877147,0.8115932500222698,0.04701087498688139,0.6121574580029119,1,5091840,70656,0,0.0
