case,cores,status,tree_status,seed_cycles,tree_cycles,chosen_cycles,improvement_percent,solver_wall_seconds,E0_calls
002,4,ok,ok,270245,86922,86922,67.83585265222298,0.31279029199504294,2
062,4,ok,ok,3066597,844614,844614,72.45761343926182,11.616912249999586,2
063,4,ok,ok,1136021,338130,338130,70.23558543371998,2.697363207989838,2
008,4,ok,unsupported,63768,,63768,0.0,0.10949891700875014,1
044,4,ok,unsupported,70261,,70261,0.0,0.16033558300114237,1
080,4,ok,unsupported,83124,,83124,0.0,0.1762442920007743,1
002,2,ok,ok,270245,169876,169876,37.14000259024218,0.33466370799578726,2
002,5,ok,ok,270245,85129,85129,68.49932468685822,0.32192779099568725,2
063,2,ok,ok,1136021,672244,672244,40.824685459159646,2.496234749996802,2
063,5,ok,ok,1136021,336337,336337,70.3934170231008,2.3723687499877997,2
