case_id,cores,graph_sha256,compute_ops,critical_path_cycles,max_op_cycles,pipe_work_lower_cycles,M_work_cycles,V_work_cycles,lower_bound_cycles,official_baseline_cycles,speedup_upper,speedup_upper_exact,snapshot_best_cycles,snapshot_best_speedup,single_solver_cycles,single_solver_speedup,relaxed_headroom_speedup,relaxed_mean_contribution_div100,best_algorithm,best_solver_commit,best_record_id,best_result_sha256,single_solver_record_id,baseline_result_sha256
001,1,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,1316,1164,232800,232800,30400,232800,233110,1.001331615120275,23311/23280,233110,1.0,233110,1.0,0.0013316151202749141,1.331615120274914e-05,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,309adb329ceb35a319f6acfd014b08f7911185ac10f027065f66db69c6892c0e,ee9bafc7ae15b3c263df730797c6bb16544d1cb9dd280f08323355107894af9a,309adb329ceb35a319f6acfd014b08f7911185ac10f027065f66db69c6892c0e,80208d8d8280024f1a67b0b3386747454d28f32810f7944883d9adeb16cb3981
001,2,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,1316,1164,116400,232800,30400,116400,233110,2.00266323024055,23311/11640,116868,1.9946435294520313,116868,1.9946435294520313,0.008019700788518477,8.019700788518477e-05,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,84c2588e4174f5fc9afbfeb2b67dcb3e639e792f97eb55b920fcc2a8400a8533,478284657d4ca9b78e70afda99af964fe8b7bbcc86f3ce9a16b3a3b0d871f618,84c2588e4174f5fc9afbfeb2b67dcb3e639e792f97eb55b920fcc2a8400a8533,80208d8d8280024f1a67b0b3386747454d28f32810f7944883d9adeb16cb3981
001,3,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,1316,1164,77600,232800,30400,77600,233110,3.003994845360825,23311/7760,78545,2.9678528232223567,78545,2.9678528232223567,0.03614202213846813,0.0003614202213846813,q3-structure-selected-online,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,4721e7bf67fdfcf50d094a05a8c809bee869268f173a13b745ac5c6faff7fb2a,1d52af2ec05f206b5e5c88eb248f1f52c504c83551cf7cb5859901d29bf30162,4721e7bf67fdfcf50d094a05a8c809bee869268f173a13b745ac5c6faff7fb2a,80208d8d8280024f1a67b0b3386747454d28f32810f7944883d9adeb16cb3981
001,4,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,1316,1164,58200,232800,30400,58200,233110,4.0053264604811,23311/5820,58984,3.952088702020887,58984,3.952088702020887,0.053237758460212635,0.0005323775846021264,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,17584a5c07efdcfc2113cfca6b9a1004b6274dea1f55e6a1ebf202babd55c415,80f2d9b60a459e031e6002b11a3b259b1b967f65e7c14e98d41129a8ffd2c6e6,e29adfd3be43cb5921212e061a8e6224885c14b00c508d5387176ff6590d9b95,80208d8d8280024f1a67b0b3386747454d28f32810f7944883d9adeb16cb3981
001,5,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,600,1316,1164,46560,232800,30400,46560,233110,5.006658075601375,23311/4656,47502,4.9073723211654245,47502,4.9073723211654245,0.09928575443594996,0.0009928575443594995,q3-structure-selected,a4e7ee13310d693ec4fb5cc236669ceb3b172d1f,180aa4704d1f96596e9c3afcdea0018513015af6be230fdd06e4e0476c1bb403,cac5678e4c89c0d92bd59173902695fbabdcf4ad78399db0f95381da8d749598,2799e00be259b5fcd7fe23ea19fbbf6b735911f768409b76311791eaafab69cc,80208d8d8280024f1a67b0b3386747454d28f32810f7944883d9adeb16cb3981
002,1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,2976,300,240000,240000,35928,240000,261945,1.0914375,17463/16000,262089,0.9994505683183956,270245,0.9692871283465004,0.09198693168160434,0.0009198693168160434,q3-guarded-release,6389818b1028ada74c685483dd1cd75fb8e16285,c74cbf20ddab41ddd1ecba9f047653406b6e484655b8d69cfab549b1fe950b66,6c19bf94e9a284618ef80bebfce0e84458cf76d6a7f6640e4ad37f8ff309bf77,c8a82df363f542075ad14efb667f25459aa66a783dddb3125d9ef62d3da17c4b,5e3c105c26bac55622cf56191e5ae8b54e1ed19602c0d72c457a55caef86c519
002,2,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,2976,300,120000,240000,35928,120000,261945,2.182875,17463/8000,136624,1.9172692938283171,270245,0.9692871283465004,0.2656057061716829,0.0026560570617168286,q3-guarded-release,6389818b1028ada74c685483dd1cd75fb8e16285,d797f23b5738d1614e5d64a372a2399c908314bfba634750006060f368e3f2d6,df9920e50593338fce1ceeea936545191d03d00e9ba43a7885033c89997f9e83,a9d5641ffa9a25a1cfd3f759ffc40cc562bcee9b09d8ece1b0a4e79286ae6f86,5e3c105c26bac55622cf56191e5ae8b54e1ed19602c0d72c457a55caef86c519
002,3,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,2976,300,80000,240000,35928,80000,261945,3.2743125,52389/16000,93527,2.8007420317127676,270245,0.9692871283465004,0.47357046828723254,0.004735704682872326,q3-guarded-release,6389818b1028ada74c685483dd1cd75fb8e16285,3037d4d267642ce2cef8292df2b133aa1269bf0daf723ec7e4c692884eea3b1c,efd355becf9c52f3b4e8990b3676aa0f534b9484579db5b13ddb7943f1dbb486,872d500a7a155d8af788d672fbe3544836f83b62395e63dd02ce58935f12ab1e,5e3c105c26bac55622cf56191e5ae8b54e1ed19602c0d72c457a55caef86c519
002,4,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,2976,300,60000,240000,35928,60000,261945,4.36575,17463/4000,72594,3.608356062484503,270245,0.9692871283465004,0.7573939375154971,0.007573939375154971,q3-guarded-release,6389818b1028ada74c685483dd1cd75fb8e16285,b267f56ba8c5f42d167d1a900b75bef03693342c35aa2e09a033fa8d839229e4,141532d77c2c2ac891ea163eeee1cd62179ee80ca9d58a8a75893a99af9d16a3,2cc40d2dc45507e5995dee502e812186eafbb9a1bcea02e764be9cb18b99e75d,5e3c105c26bac55622cf56191e5ae8b54e1ed19602c0d72c457a55caef86c519
002,5,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,1798,2976,300,48000,240000,35928,48000,261945,5.4571875,17463/3200,54341,4.8203934414162415,270245,0.9692871283465004,0.6367940585837581,0.0063679405858375815,q3-tree-direct,e782353b1a78ec0cca21b647552693caebbc8724,d9517c5a9beffaeb5b9f63cde3ab70ed47bb2caeffbd73f97f51c94bc9ec8fe5,f5d18a12536e68338a5a8532a21c4453d3f1b7ea1ed7ddc100de52ab954a4c72,e4729ba4dd719bb27e0b8725a6fc614bce93a8f3fd7fe2a8734916368ca34392,5e3c105c26bac55622cf56191e5ae8b54e1ed19602c0d72c457a55caef86c519
