cores,rank,case_id,current_speedup,upper_speedup,relaxed_mean_contribution,compute_ops,M_work_fraction,V_work_fraction,weak_components,largest_component_ops,largest_component_fraction,critical_path_cycles,cp_over_max_pipe_work,source_ops,sink_ops,max_fanin,max_fanout,join_ops,fork_ops
2,1,071,1.0392199945070035,3.018828785702888,0.019796087911958846,741,0.5336341961852861,0.4663658038147139,1,741,1.0,2298,0.18334131163235998,11,5,2,6,370,216
2,2,069,1.0472739389395642,3.015952980688497,0.019686790417489327,1032,0.5216819973718791,0.4783180026281209,1,1032,1.0,2298,0.137819359481828,12,6,2,6,528,294
2,3,005,1.0571365395245993,2.9935819166588398,0.019364453771342403,4113,0.5118257859821171,0.4881742140178829,1,4113,1.0,6894,0.10791772330233869,25,7,2,7,2170,1166
2,4,086,1.0568959822903,2.990654441666035,0.019337584593757354,5274,0.5035677490746747,0.4964322509253253,1,5274,1.0,6894,0.08706524210047738,26,8,2,8,2816,1474
2,5,048,1.0680726916181624,2.9254870984728805,0.018574144068547183,1728,0.5375121342393565,0.46248786576064344,1,1728,1.0,75960,0.54437564499484,57,3,2,3,777,537
2,6,044,2.383007948144147,4.15050266114725,0.01767494713003103,1364,0.8816475495307612,0.11835245046923878,11,124,0.09090909090909091,7672,0.10311273587441536,11,11,2,2,264,264
2,7,068,1.2396565477433557,2.9072026719978163,0.016675461242544605,5351,0.6168966089396405,0.3831033910603595,32,4176,0.7804148757241637,48319,0.1939735288095993,220,95,2,9,2360,1319
2,8,088,1.2361253462955257,2.8065872540435923,0.015704619077480667,3309,0.6351078462934239,0.36489215370657613,31,2798,0.8455726805681475,32229,0.18564236671121145,70,34,2,9,1492,920
2,9,003,1.176312484251361,2.7448631697934327,0.01568550685542072,13455,0.5743493620914656,0.42565063790853436,10,13194,0.9806020066889632,28285,0.06446106583529326,81,17,2,9,7166,3640
2,10,075,1.0368236202738095,2.6036712655301937,0.01566847645256384,7410,0.6320811788743166,0.3679188211256834,1,7410,1.0,182300,0.16460199364345565,65,5,2,6,3790,2175
2,11,015,1.9645986331261978,3.4948865987507145,0.015302879656245166,1013,0.4834153615944869,0.5165846384055132,46,145,0.14313919052319843,7913,0.07796289545503808,172,66,2,11,222,68
2,12,082,1.0251918393113832,2.5391628634212307,0.015139710241098473,4113,0.6121965889908613,0.38780341100913873,1,4113,1.0,54690,0.0962960615280595,25,7,2,7,2170,1157
2,13,047,1.0391096655517331,2.5177005821798972,0.014785909166281645,13710,0.3721830900685014,0.6278169099314985,1,13710,1.0,19990,0.07707136523113699,67,7,2,7,7266,3873
2,14,085,1.0141224524853627,2.4854819243291795,0.014713594718438167,19737,0.5979633196128041,0.40203668038719587,1,19737,1.0,165564,0.06454193331087908,63,9,2,9,10674,5445
2,15,065,2.1600455877564313,3.5956365607425975,0.014355909729861666,704,0.48911350340960225,0.5108864965903978,42,61,0.08664772727272728,1265,0.04285520699234365,98,57,2,5,135,70
2,16,064,1.0721857647652702,2.4283536585365852,0.013561678937713153,906,0.3170223841749089,0.6829776158250911,1,906,1.0,3528,0.22408536585365854,22,4,2,4,424,269
2,17,096,1.9516005655872604,3.1693581780538302,0.012177576124665699,1198,0.4303878894440037,0.5696121105559964,50,397,0.3313856427378965,9417,0.17724449463579897,93,50,2,14,171,92
2,18,054,1.627839303368318,2.8388306839238195,0.012109913805555015,15751,0.5657924815349082,0.4342075184650917,24,15390,0.97708082026538,20291,0.03533687671538237,201,31,2,9,8426,4254
2,19,066,1.4633400848490283,2.662795612805624,0.01199455527956596,5962,0.6124161797732397,0.38758382022676025,28,3675,0.6164038913116404,32240,0.11954288934866923,87,38,2,9,3012,1639
2,20,019,2.167712980525205,3.3505656949376497,0.011828527144124447,647,0.5459915231310307,0.4540084768689692,31,170,0.26275115919629055,12234,0.2525807250805186,57,31,2,2,104,78
3,1,044,2.492445520581114,6.225586646238207,0.037331411256570926,1364,0.8816475495307612,0.11835245046923878,11,124,0.09090909090909091,7672,0.10311273587441536,11,11,2,2,264,264
3,2,071,1.0392199945070035,4.528243178554332,0.03489023184047329,741,0.5336341961852861,0.4663658038147139,1,741,1.0,2298,0.18334131163235998,11,5,2,6,370,216
3,3,069,1.0472739389395642,4.523929471032746,0.03476655532093181,1032,0.5216819973718791,0.4783180026281209,1,1032,1.0,2298,0.137819359481828,12,6,2,6,528,294
3,4,005,1.0571365395245993,4.490372874988259,0.0343323633546366,4113,0.5118257859821171,0.4881742140178829,1,4113,1.0,6894,0.10791772330233869,25,7,2,7,2170,1166
3,5,086,1.0568959822903,4.485981662499053,0.03429085680208753,5274,0.5035677490746747,0.4964322509253253,1,5274,1.0,6894,0.08706524210047738,26,8,2,8,2816,1474
3,6,068,1.2363550071191267,4.360804007996724,0.031244490008775976,5351,0.6168966089396405,0.3831033910603595,32,4176,0.7804148757241637,48319,0.1939735288095993,220,95,2,9,2360,1319
3,7,088,1.2253383696893185,4.20983238292725,0.029844940132379323,3309,0.6351078462934239,0.36489215370657613,31,2798,0.8455726805681475,32229,0.18564236671121145,70,34,2,9,1492,920
3,8,003,1.1735365188245381,4.11729475469015,0.029437582358656112,13455,0.5743493620914656,0.42565063790853436,10,13194,0.9806020066889632,28285,0.06446106583529326,81,17,2,9,7166,3640
3,9,075,1.0368236202738095,3.9054998456012613,0.028686762253274517,7410,0.6320811788743166,0.3679188211256834,1,7410,1.0,182300,0.16460199364345565,65,5,2,6,3790,2175
3,10,082,1.0251918393113832,3.808744295131846,0.027835524558204625,4113,0.6121965889908613,0.38780341100913873,1,4113,1.0,54690,0.0962960615280595,25,7,2,7,2170,1157
3,11,047,1.0391096655517331,3.776536312849162,0.02737426647297429,13710,0.3721830900685014,0.6278169099314985,1,13710,1.0,19990,0.07707136523113699,67,7,2,7,7266,3873
3,12,085,1.0141224524853627,3.7282228864937688,0.02714100434008406,19737,0.5979633196128041,0.40203668038719587,1,19737,1.0,165564,0.06454193331087908,63,9,2,9,10674,5445
3,13,054,1.6270658950398555,4.258231194424417,0.026311652993845615,15751,0.5657924815349082,0.4342075184650917,24,15390,0.97708082026538,20291,0.03533687671538237,201,31,2,9,8426,4254
3,14,064,1.0721857647652702,3.642530487804878,0.02570344723039608,906,0.3170223841749089,0.6829776158250911,1,906,1.0,3528,0.22408536585365854,22,4,2,4,424,269
3,15,066,1.452930584498351,3.994193419208436,0.02541262834710085,5962,0.6124161797732397,0.38758382022676025,28,3675,0.6164038913116404,32240,0.11954288934866923,87,38,2,9,3012,1639
3,16,065,2.9301529457235933,5.393089430894309,0.024629364851707157,704,0.48911350340960225,0.5108864965903978,42,61,0.08664772727272728,1265,0.04285520699234365,98,57,2,5,135,70
3,17,015,2.9096248174942994,5.242278249046788,0.023326534315524894,1013,0.4834153615944869,0.5165846384055132,46,145,0.14313919052319843,7913,0.07796289545503808,172,66,2,11,222,68
3,18,056,1.094923513105834,3.3821430749527353,0.022872195618469014,7678,0.3475511248935589,0.6524488751064411,19,7464,0.9721281583745767,13737,0.05585213435087191,89,37,2,9,3894,2069
3,19,049,1.2922756840746885,3.553214214594761,0.022609385305200725,4303,0.3655117754490215,0.6344882245509784,11,3952,0.918429003021148,8921,0.05383338864918686,60,18,2,8,2080,1113
3,20,009,1.755627341145744,3.8317165858292914,0.020760892446835478,5671,0.35192706533010715,0.6480729346698928,25,4774,0.8418268383001234,9965,0.08304720314687646,200,69,2,6,2585,1435
4,1,071,1.0392199945070035,6.036694320357371,0.04997474325850367,741,0.5336341961852861,0.4663658038147139,1,741,1.0,2298,0.18334131163235998,11,5,2,6,370,216
4,2,069,1.0472739389395642,6.031182537778844,0.049839085988392796,1032,0.5216819973718791,0.4783180026281209,1,1032,1.0,2298,0.137819359481828,12,6,2,6,528,294
4,3,005,1.0571365395245993,5.9869763947154215,0.04929839855190823,4113,0.5118257859821171,0.4881742140178829,1,4113,1.0,6894,0.10791772330233869,25,7,2,7,2170,1166
4,4,086,1.0568959822903,5.981157809658517,0.04924261827368217,5274,0.5035677490746747,0.4964322509253253,1,5274,1.0,6894,0.08706524210047738,26,8,2,8,2816,1474
4,5,068,1.230222231282255,5.81435866144261,0.04584136430160355,5351,0.6168966089396405,0.3831033910603595,32,4176,0.7804148757241637,48319,0.1939735288095993,220,95,2,9,2360,1319
4,6,044,3.7727417108510273,8.3010053222945,0.04528263611443473,1364,0.8816475495307612,0.11835245046923878,11,124,0.09090909090909091,7672,0.10311273587441536,11,11,2,2,264,264
4,7,088,1.2218354890642005,5.613174508087185,0.04391339019022984,3309,0.6351078462934239,0.36489215370657613,31,2798,0.8455726805681475,32229,0.18564236671121145,70,34,2,9,1492,920
4,8,003,1.1707554157537536,5.489726339586865,0.043189709238331125,13455,0.5743493620914656,0.42565063790853436,10,13194,0.9806020066889632,28285,0.06446106583529326,81,17,2,9,7166,3640
4,9,075,1.0368236202738095,5.207342531060387,0.041705189107865775,7410,0.6320811788743166,0.3679188211256834,1,7410,1.0,182300,0.16460199364345565,65,5,2,6,3790,2175
4,10,082,1.0251918393113832,5.078325726842461,0.040531338875310775,4113,0.6121965889908613,0.38780341100913873,1,4113,1.0,54690,0.0962960615280595,25,7,2,7,2170,1157
4,11,054,1.6257904038489925,5.677661367847639,0.04051870963998647,15751,0.5657924815349082,0.4342075184650917,24,15390,0.97708082026538,20291,0.03533687671538237,201,31,2,9,8426,4254
4,12,047,1.0391096655517331,5.035362336721003,0.0399625267116927,13710,0.3721830900685014,0.6278169099314985,1,13710,1.0,19990,0.07707136523113699,67,7,2,7,7266,3873
4,13,085,1.0141224524853627,4.970963848658359,0.039568413961729956,19737,0.5979633196128041,0.40203668038719587,1,19737,1.0,165564,0.06454193331087908,63,9,2,9,10674,5445
4,14,066,1.4516324649493038,5.325551732320835,0.03873919267371531,5962,0.6124161797732397,0.38758382022676025,28,3675,0.6164038913116404,32240,0.11954288934866923,87,38,2,9,3012,1639
4,15,015,3.1337703411841615,6.989635467980295,0.03855865126796134,1013,0.4834153615944869,0.5165846384055132,46,145,0.14313919052319843,7913,0.07796289545503808,172,66,2,11,222,68
4,16,064,1.0721857647652702,4.8567073170731705,0.037845215523079005,906,0.3170223841749089,0.6829776158250911,1,906,1.0,3528,0.22408536585365854,22,4,2,4,424,269
4,17,049,1.2916548760504616,4.737647541577156,0.03445992665526695,4303,0.3655117754490215,0.6344882245509784,11,3952,0.918429003021148,8921,0.05383338864918686,60,18,2,8,2080,1113
4,18,056,1.0946079843991172,4.509505765258827,0.034148977808597096,7678,0.3475511248935589,0.6524488751064411,19,7464,0.9721281583745767,13737,0.05585213435087191,89,37,2,9,3894,2069
4,19,100,2.5204253404223405,5.929848639322406,0.034094232989000654,1394,0.38013405200439954,0.6198659479956005,43,275,0.19727403156384504,4830,0.047349691687825345,187,89,2,14,298,64
4,20,010,2.909732677573689,6.268487818941906,0.033587551413682165,667,0.44562763470721034,0.5543723652927897,36,133,0.19940029985007496,3146,0.05668877036182788,80,36,2,13,113,58
5,1,044,1.8079174765238977,10.376117196424971,0.08568199719901073,1364,0.8816475495307612,0.11835245046923878,11,124,0.09090909090909091,7672,0.10311273587441536,11,11,2,2,264,264
5,2,005,1.0571365395245993,7.483603349769116,0.06426466810244517,4113,0.5118257859821171,0.4881742140178829,1,4113,1.0,6894,0.10791772330233869,25,7,2,7,2170,1166
5,3,086,1.0568959822903,7.476352844604407,0.06419456862314107,5274,0.5035677490746747,0.4964322509253253,1,5274,1.0,6894,0.08706524210047738,26,8,2,8,2816,1474
5,4,068,1.2241499967882945,7.267919150559001,0.06043769153770707,5351,0.6168966089396405,0.3831033910603595,32,4176,0.7804148757241637,48319,0.1939735288095993,220,95,2,9,2360,1319
5,5,071,1.6291225350899854,7.546469884323893,0.059173473492339076,741,0.5336341961852861,0.4663658038147139,1,741,1.0,2298,0.18334131163235998,11,5,2,6,370,216
5,6,069,1.651928257013337,7.539430284857572,0.058875020278442346,1032,0.5216819973718791,0.4783180026281209,1,1032,1.0,2298,0.137819359481828,12,6,2,6,528,294
5,7,088,1.2127002931909026,7.0163873048787515,0.05803687011687848,3309,0.6351078462934239,0.36489215370657613,31,2798,0.8455726805681475,32229,0.18564236671121145,70,34,2,9,1492,920
5,8,003,1.167749654355317,6.862111008557527,0.0569436135420221,13455,0.5743493620914656,0.42565063790853436,10,13194,0.9806020066889632,28285,0.06446106583529326,81,17,2,9,7166,3640
5,9,054,1.6244974836812995,7.0970272717773675,0.05472529788096068,15751,0.5657924815349082,0.4342075184650917,24,15390,0.97708082026538,20291,0.03533687671538237,201,31,2,9,8426,4254
5,10,075,1.0368236202738095,6.509178163825484,0.054723545435516746,7410,0.6320811788743166,0.3679188211256834,1,7410,1.0,182300,0.16460199364345565,65,5,2,6,3790,2175
5,11,082,1.0251918393113832,6.34786245025883,0.05322670610947447,4113,0.6121965889908613,0.38780341100913873,1,4113,1.0,54690,0.0962960615280595,25,7,2,7,2170,1157
5,12,047,1.0391096655517331,6.294251455449744,0.05255141789898011,13710,0.3721830900685014,0.6278169099314985,1,13710,1.0,19990,0.07707136523113699,67,7,2,7,7266,3873
5,13,066,1.4495403955383852,6.656964348616029,0.05207423953077644,5962,0.6124161797732397,0.38758382022676025,28,3675,0.6164038913116404,32240,0.11954288934866923,87,38,2,9,3012,1639
5,14,085,1.0141224524853627,6.213695121665978,0.05199572669180615,19737,0.5979633196128041,0.40203668038719587,1,19737,1.0,165564,0.06454193331087908,63,9,2,9,10674,5445
5,15,010,2.8352676533872336,7.835045045045045,0.049997773916578114,667,0.44562763470721034,0.5543723652927897,36,133,0.19940029985007496,3146,0.05668877036182788,80,36,2,13,113,58
