case_id,cores,anchor_cycles,release_status,release_cycles,release_lower_bound_cycles,makespan_cycles,delta_vs_anchor_percent,selected_strategy,official_singlecore_cycles,relative_to_official_singlecore,solver_wall_seconds,online_e0_seconds,main_until_evidence_seconds,E0_calls,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,cache_byte_hit_rate
002,1,262089,ok,262089,261960,262089,0.0,balanced_reduction_tree,261945,0.9994505683183956,0.4526692910003476,0.30263266697875224,0.41690329200355336,2,1224192,0,0,0.0
002,2,169876,ok,136624,136392,136624,-19.574277708446164,release_place_forest,261945,1.9172692938283171,0.403956708003534,0.26029054197715595,0.37195287499343976,2,1242624,18432,0,0.0
002,3,93527,bound_pruned,,94428,93527,0.0,balanced_reduction_tree,261945,2.8007420317127676,0.25047025000094436,0.1199041249928996,0.21819258297909983,1,1230336,6144,0,0.0
002,4,86922,ok,72594,72156,72594,-16.483744046386416,release_place_forest,261945,3.608356062484503,0.38748466697870754,0.23439820899511687,0.35624495800584555,2,1273344,49152,0,0.0
002,5,85129,ok,54341,53644,54341,-36.16628880874907,release_place_forest,261945,4.8203934414162415,0.40719958298723213,0.23870012498809956,0.37157525002839975,2,1273344,49152,0,0.0
062,1,2855025,ok,2855025,2854896,2855025,0.0,balanced_reduction_tree,2854809,0.9999243439199307,14.666416583000682,12.63228550000349,14.614559415989788,2,13401600,0,0,0.0
062,2,1514188,ok,1514152,1513920,1514152,-0.0023775119073699003,release_place_forest,2854809,1.8854177123564873,11.279449041991029,9.2656583749922,11.231186707998859,2,13407744,6144,0,0.0
062,3,1342199,ok,1006775,1006440,1006775,-24.99063104651397,release_place_forest,2854809,2.835597824737404,9.56046633402002,7.622503874008544,9.515073124988703,2,13438464,36864,0,0.0
062,4,844614,ok,838050,837612,838050,-0.7771597439777178,release_place_forest,2854809,3.4064900662251656,8.905479291977827,6.919739416975062,8.8599827500002,2,13432320,30720,0,0.0
062,5,673177,ok,588101,587452,588101,-12.637983769498963,release_place_forest,2854809,4.854283532930568,8.161367082997458,6.2606666249921545,8.117920124990633,2,13466112,64512,0,0.0
063,1,1070589,ok,1070589,1070460,1070589,0.0,balanced_reduction_tree,1070397,0.9998206594687598,2.6959891250007786,2.126131874974817,2.6636974590073805,2,5021184,0,0,0.0
063,2,672244,ok,566944,566712,566944,-15.663955349545699,release_place_forest,1070397,1.8880118671332617,2.4063576660118997,1.8663212910178117,2.37502829200821,2,5039616,18432,0,0.0
063,3,399671,ok,399623,399288,399623,-0.012009878124752404,release_place_forest,1070397,2.678517002274644,2.205348875024356,1.6605980840104166,2.172932874993421,2,5045760,24576,0,0.0
063,4,338130,ok,293826,293388,293826,-13.102652825836214,release_place_forest,1070397,3.6429621612791245,2.064995375025319,1.4893719159881584,2.0305353330040816,2,5073408,52224,0,0.0
063,5,336337,ok,232381,231840,232381,-30.90828543990105,release_place_forest,1070397,4.606215654464005,1.998819333006395,1.374615625012666,1.958042124984786,2,5076480,55296,0,0.0
037,4,53852,unsupported,,,53852,0.0,affine_eighth,210001,3.8995951868082894,0.1238342080032453,0.05934754200279713,0.09667787500075065,1,1228800,614400,0,0.0
080,4,83124,unsupported,,,83124,0.0,affine_eighth,292138,3.5144843847745535,0.1786680420045741,0.09723379201022908,0.1518835409951862,1,6397952,4419584,229376,0.5910290237467019
008,5,52291,unsupported,,,52291,0.0,resource_word,487605,9.324836013845594,0.12347008401411586,0.06028729199897498,0.09330541599774733,1,2654424,0,0,0.0
084,5,254640,unsupported,,,254640,0.0,resource_word,2507412,9.84688972667295,1.6620034590014257,1.2822599170031026,1.6289413750055246,1,13236330,0,0,0.0
095,5,216624,unsupported,,,216624,0.0,resource_word,2084853,9.62429370706847,0.5354876249912195,0.36754287499934435,0.5046852079976816,1,11355036,0,0,0.0
