case_id,variant,problem,cores,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,evaluation_reused_from,plan_sha256,extra_ddr_bytes,spill_bytes,cache_hit_rate,ingress_proxy_bytes
008,baseline,P2,4,63768,1.000512799999342,1.111309799999617,,43a832cbd24e24c6f4b42386146713bd3f241efc7a75b50a03a04f58b99de91a,0,0,,1990872
008,baseline,P3,4,63768,1.000512799999342,1.7852788999998666,,43a832cbd24e24c6f4b42386146713bd3f241efc7a75b50a03a04f58b99de91a,0,0,0.0,1990872
008,shared_order,P2,4,63768,1.1270373000006657,,008-baseline,43a832cbd24e24c6f4b42386146713bd3f241efc7a75b50a03a04f58b99de91a,0,0,,1990872
008,shared_order,P3,4,63768,1.1270373000006657,,008-baseline,43a832cbd24e24c6f4b42386146713bd3f241efc7a75b50a03a04f58b99de91a,0,0,0.0,1990872
008,shared_place,P2,4,63768,1.5368670999996539,,008-baseline,43a832cbd24e24c6f4b42386146713bd3f241efc7a75b50a03a04f58b99de91a,0,0,,1990872
008,shared_place,P3,4,63768,1.5368670999996539,,008-baseline,43a832cbd24e24c6f4b42386146713bd3f241efc7a75b50a03a04f58b99de91a,0,0,0.0,1990872
037,baseline,P2,4,53852,1.4656410000006872,1.1220552000004318,,d1c6c87f9252d05cb9f20a75a4037a8457cf84203680b41a960f532428642283,614400,0,,1146880
037,baseline,P3,4,53852,1.4656410000006872,3.288756700000704,,d1c6c87f9252d05cb9f20a75a4037a8457cf84203680b41a960f532428642283,614400,0,0.0,1146880
037,shared_order,P2,4,53852,3.3141882999998415,,037-baseline,d1c6c87f9252d05cb9f20a75a4037a8457cf84203680b41a960f532428642283,614400,0,,1146880
037,shared_order,P3,4,53852,3.3141882999998415,,037-baseline,d1c6c87f9252d05cb9f20a75a4037a8457cf84203680b41a960f532428642283,614400,0,0.0,1146880
037,shared_place,P2,4,53852,2.7479819000000134,3.1011631000001216,,87d615222230a9976156610117c948cbf2896149ca9559c8c1d6c61bca6332e6,1024000,0,,1556480
037,shared_place,P3,4,53852,2.7479819000000134,4.454379099999642,,87d615222230a9976156610117c948cbf2896149ca9559c8c1d6c61bca6332e6,1024000,0,0.5671052631578948,1556480
044,baseline,P2,4,91922,1.6587409999992815,2.0786066000000574,,012399c69bdd549e17cf44221cd360e9e0f60cb3a6a209a8b060bd9aa0dc9a2d,4179744,1388544,,3744128
044,baseline,P3,4,70261,1.6587409999992815,1.42073259999961,,012399c69bdd549e17cf44221cd360e9e0f60cb3a6a209a8b060bd9aa0dc9a2d,4179744,1388544,0.32948412200326344,3744128
044,shared_order,P2,4,91922,1.258580300000176,,044-baseline,012399c69bdd549e17cf44221cd360e9e0f60cb3a6a209a8b060bd9aa0dc9a2d,4179744,1388544,,3744128
044,shared_order,P3,4,70261,1.258580300000176,,044-baseline,012399c69bdd549e17cf44221cd360e9e0f60cb3a6a209a8b060bd9aa0dc9a2d,4179744,1388544,0.32948412200326344,3744128
044,shared_place,P2,4,91922,1.3795302999997148,1.1944099000002097,,338aac8fbdaddbd4b5cfa79d2e00a8753b1bbc90940b7a117bbfbc32f0b6f089,4179744,1388544,,3744128
044,shared_place,P3,4,70261,1.3795302999997148,1.2309793999993417,,338aac8fbdaddbd4b5cfa79d2e00a8753b1bbc90940b7a117bbfbc32f0b6f089,4179744,1388544,0.32948412200326344,3744128
080,baseline,P2,4,112445,0.7100400999997873,1.3212782000000516,,6e91806c084d47deabb0116d4701b7a85555913867f27cf077275aaef6364a0d,4419584,229376,,6094848
080,baseline,P3,4,83124,0.7100400999997873,1.674997699999949,,6e91806c084d47deabb0116d4701b7a85555913867f27cf077275aaef6364a0d,4419584,229376,0.5910290237467019,6094848
080,shared_order,P2,4,108757,0.8263815999998769,1.771267899999657,,ec152e3a07a3feddfedac4a20ac1499531f0d381f9530680d17f5d3856cfd46e,4190208,0,,6094848
080,shared_order,P3,4,83307,0.8263815999998769,1.9219483000006221,,ec152e3a07a3feddfedac4a20ac1499531f0d381f9530680d17f5d3856cfd46e,4190208,0,0.6411290322580645,6094848
080,shared_place,P2,4,87353,0.7348059000005378,1.033907399999407,,5b19a16423c82296b6df6c0057ac232df78e5396a4d3a0b4bf519c9c7824209d,2805760,1155072,,3555328
080,shared_place,P3,4,83397,0.7348059000005378,1.5096666000008554,,5b19a16423c82296b6df6c0057ac232df78e5396a4d3a0b4bf519c9c7824209d,2805760,1155072,0.3538156590683845,3555328
