case_id,cores,B,U,L0,L_plus,graph_sha256
001,1,233110,233110,232800,232952,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,2,233110,116868,116400,116552,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,3,233110,78545,77600,77988,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,4,233110,58984,58200,58352,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,5,233110,47502,46560,46712,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
002,1,261945,262089,240000,240180,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,2,261945,136624,120000,120180,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,3,261945,93527,80000,80180,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,4,261945,72594,60000,60180,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,5,261945,54341,48000,48180,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
003,1,602212,442629,438792,438894,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,2,602212,229045,219396,219498,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,3,602212,169168,146264,146366,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,4,602212,139553,109698,109800,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,5,602212,124094,87759,87861,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
004,1,392357,386363,385614,385644,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,2,392357,195960,192807,193386,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,3,392357,130725,128538,128568,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,4,392357,100126,96404,97272,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,5,392357,83440,77123,77586,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
005,1,95618,73504,63882,63918,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,2,95618,39844,31941,32018,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,3,95618,30855,21294,21416,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,4,95618,28981,15971,16115,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,5,95618,30642,12777,12976,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
006,1,82837,69415,69000,69000,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,2,82837,37307,34500,34500,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,3,82837,27285,23000,23000,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,4,82837,24049,17250,17250,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,5,82837,21118,13800,13800,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
007,1,1012562,979262,979020,979056,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
