case,engine,repeat,seconds,makespan,full_equal
case_001.json,oracle,0,0.088937250,189027,True
case_001.json,exact,0,0.078024000,189027,True
case_001.json,exact,1,0.078642875,189027,True
case_001.json,oracle,1,0.087589208,189027,True
case_001.json,oracle,2,0.087517917,189027,True
case_001.json,exact,2,0.076752584,189027,True
case_001.json,exact,3,0.076363083,189027,True
case_001.json,oracle,3,0.091862750,189027,True
case_001.json,oracle,4,0.089356125,189027,True
case_001.json,exact,4,0.077564500,189027,True
case_019.json,oracle,0,0.082574833,141133,True
case_019.json,exact,0,0.072813167,141133,True
case_019.json,exact,1,0.072780125,141133,True
case_019.json,oracle,1,0.083836875,141133,True
case_019.json,oracle,2,0.082434792,141133,True
case_019.json,exact,2,0.074334042,141133,True
case_019.json,exact,3,0.075008042,141133,True
case_019.json,oracle,3,0.083445917,141133,True
case_019.json,oracle,4,0.086865000,141133,True
case_019.json,exact,4,0.074032666,141133,True
case_080.json,oracle,0,0.226564000,294124,True
case_080.json,exact,0,0.194817125,294124,True
case_080.json,exact,1,0.199088542,294124,True
case_080.json,oracle,1,0.236228583,294124,True
case_080.json,oracle,2,0.230317125,294124,True
case_080.json,exact,2,0.197978458,294124,True
case_080.json,exact,3,0.195668375,294124,True
case_080.json,oracle,3,0.233126709,294124,True
case_080.json,oracle,4,0.228594750,294124,True
case_080.json,exact,4,0.194937667,294124,True
